智悲,,,,,,,,,,
 届别,课程,类别,统计方式,传承,法本,共修,次数,时长,总时长,共修时间
前行,前行广释053,主修,共修,1,1,1,0,0,0,1/26/2018
前行,前行广释054,主修,共修,1,1,1,0,0,0,2/2/2018
前行,前行广释055,主修,共修,1,1,1,0,0,0,2/9/2018
前行,前行广释056,主修,共修,1,1,1,0,0,0,2/16/2018
前行,前行广释057,主修,共修,1,1,1,0,0,0,2/23/2018
前行,前行广释058,主修,共修,1,1,1,0,0,0,3/2/2018
前行,前行广释059,主修,共修,1,1,1,0,0,0,3/9/2018
前行,前行广释060,主修,共修,1,1,1,0,0,0,3/16/2018
前行,前行广释061,主修,共修,1,1,1,0,0,0,3/23/2018
前行,前行广释062,主修,共修,1,1,1,0,0,0,3/30/2018
前行,前行广释063,主修,共修,1,1,1,0,0,0,4/6/2018
前行,前行广释064,主修,共修,1,1,1,0,0,0,4/13/2018
前行,前行广释065,主修,共修,1,1,1,0,0,0,4/20/2018
前行,前行广释066,主修,共修,1,1,1,0,0,0,4/27/2018
前行,前行广释067,主修,共修,1,1,1,0,0,0,5/7/2018
前行,前行广释068,主修,共修,1,1,1,0,0,0,6/3/2018
前行,前行广释069,主修,共修,1,1,1,0,0,0,6/10/2018
前行,前行广释070,主修,共修,1,1,1,0,0,0,6/17/2018
前行,前行广释071,主修,共修,1,1,1,0,0,0,6/24/2018
前行,前行广释072,主修,共修,1,1,1,0,0,0,7/1/2018
前行,前行广释073,主修,共修,1,1,1,0,0,0,7/8/2018
前行,前行广释074,主修,共修,1,1,1,0,0,0,7/15/2018
前行,前行广释075,主修,共修,1,1,1,0,0,0,7/22/2018
前行,前行广释076,主修,共修,1,1,1,0,0,0,7/29/2018
前行,前行广释077,主修,共修,1,1,1,0,0,0,8/5/2018
前行,前行广释078,主修,共修,1,1,1,0,0,0,8/12/2018
前行,前行广释079,主修,共修,1,1,1,0,0,0,8/19/2018
前行,前行广释080,主修,共修,1,1,1,0,0,0,8/26/2018
前行,前行广释081,主修,共修,1,1,1,0,0,0,9/2/2018
前行,前行广释082,主修,共修,1,1,1,0,0,0,9/9/2018
前行,前行广释083,主修,共修,1,1,1,0,0,0,9/16/2018
前行,前行广释084,主修,共修,1,1,1,0,0,0,9/23/2018
前行,前行广释085,主修,共修,1,1,1,0,0,0,9/30/2018
前行,前行广释086,主修,共修,1,1,1,0,0,0,10/7/2018
前行,前行广释087,主修,共修,1,1,1,0,0,0,10/14/2018
前行,前行广释088,主修,共修,1,1,1,0,0,0,10/21/2018
前行,前行广释089,主修,共修,1,1,1,0,0,0,10/28/2018
前行,前行广释090,主修,共修,1,1,1,0,0,0,11/7/2018
前行,前行广释091,主修,共修,1,1,1,0,0,0,12/1/2018
前行,前行广释092,主修,共修,1,1,1,0,0,0,12/8/2018
前行,前行广释093,主修,共修,1,1,1,0,0,0,12/15/2018
前行,前行广释094,主修,共修,1,1,1,0,0,0,12/22/2018
